,Released,Title,Source,Production Budget,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations,trailer ids,max viewcount,Infl. Adj. Production Budget,Infl. Adj. International Box Office,Infl. Adj. Worldwide Box Office,Infl. Adj. Opening Weekend Revenue,Genre,release_year,release_month
10,2000-05-19 00:00:00+00:00,Dinosaur,Original Screenplay,127500000,38854851,137748063,232817219,218400000,356148063,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",4 wins & 21 nominations.,PG,82,"Animation, Adventure, Family, Thriller",56,6.5,49992,tt0130623,21,['HlNRVZ871os'],841582,215496281,369132454,601949673,65671183,Animation,2000,5
11,2000-12-08 00:00:00+00:00,"Crouching Tiger, Hidden Dragon",Based on Fiction Book/Short Story,15000000,663205,128067808,207214821,85446864,213514672,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",Won 4 Oscars. Another 97 wins & 133 nominations.,PG-13,120,"Action, Adventure, Fantasy, Romance",94,7.8,245063,tt0190332,133,['4xPC1lEJ6Mg'],155426,24270129,138253764,345468585,1073071,Adventure,2000,12
12,2000-03-17 00:00:00+00:00,Erin Brockovich,Based on Real Life Events,50000000,28138465,125548685,212198237,132256558,257805243,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Won 1 Oscar. Another 32 wins & 59 nominations.,R,131,"Biography, Drama",73,7.3,163936,tt0195685,59,['keZXGaDvK2s'],30718,84508347,223535662,435733899,47558703,Drama,2000,3
13,2000-11-03 00:00:00+00:00,Charlie's Angels,Based on TV,90000000,40128550,125305545,211585489,134430545,259736090,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",15 wins & 30 nominations.,PG-13,98,"Action, Adventure, Comedy, Crime, Thriller",52,5.5,169226,tt0160127,30,['RFuZhw5b1KA'],489434,151970082,226993566,438579055,67759322,Action,2000,11
14,2000-12-27 00:00:00+00:00,Traffic,Based on TV,48000000,184725,124107476,199785980,84192524,208300000,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",Won 4 Oscars. Another 70 wins & 86 nominations.,R,147,"Crime, Drama, Thriller",86,7.6,189615,tt0181865,86,['g3Du7F7htXc'],20590,77269535,135531609,335317589,297366,Thriller,2000,12
15,2000-07-28 00:00:00+00:00,Nutty Professor II: The Klumps,Remake,84000000,42518830,123307945,208411010,43000000,166307945,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",2 wins & 14 nominations.,PG-13,106,"Comedy, Romance, Sci-Fi",38,4.4,46805,tt0144528,14,['X5BnhugnRR8'],4052,141974021,72677177,281088187,71863920,Fantasy,2000,7
16,2000-06-02 00:00:00+00:00,Big Momma's House,Original Screenplay,33000000,25661041,117559438,198695076,56000000,173559438,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",1 win & 9 nominations.,PG-13,99,"Action, Comedy, Crime",33,5.2,77737,tt0208003,9,['njhwlzuPXv4'],15337,55775509,94649348,293344424,43371443,Crime,2000,6
17,2000-09-29 00:00:00+00:00,Remember the Titans,Based on Real Life Events,30000000,20905831,115654751,195321944,21051932,136706683,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",8 wins & 18 nominations.,PG,113,"Biography, Drama, Sport",48,7.8,189221,tt0210945,18,['nPhu9XsRl4M'],1714799,50665089,35553267,230875211,35306526,Drama,2000,9
18,2000-06-28 00:00:00+00:00,The Patriot,Original Screenplay,110000000,22413710,113330342,191547197,101969658,215300000,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Nominated for 3 Oscars. Another 9 wins & 17 nominations.,R,165,"Action, Drama, History, War",63,7.2,244227,tt0187393,17,['R_C_dPHEWN0'],83973,185918363,172345744,363892941,37882911,Drama,2000,6
19,2000-12-22 00:00:00+00:00,Miss Congeniality,Original Screenplay,45000000,13853686,106807667,175650939,106613284,213420951,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,PG-13,109,"Action, Comedy, Crime, Romance",43,6.2,176450,tt0212346,5,['8emJD-rR9Cs'],779679,74004914,175331265,350982204,22783129,Comedy,2000,12
20,2000-06-21 00:00:00+00:00,Chicken Run,Original Screenplay,42000000,17506162,106793915,180499546,121000000,227793915,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.,G,84,"Animation, Adventure, Comedy, Drama, Family",88,7,168732,tt0120630,25,['jevaUcKLoMY'],78757,70987012,204510201,385009747,29588336,Animation,2000,6
21,2000-06-09 00:00:00+00:00,Gone in 60 Seconds,Remake,103300000,25336048,101643008,171793647,131000000,232643008,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",9 wins & 6 nominations.,PG-13,118,"Action, Crime, Thriller",35,6.5,251813,tt0187078,6,['cxCE9gDm1vo'],445039,174594240,221411862,393205509,42822149,Action,2000,6
22,2000-11-22 00:00:00+00:00,Unbreakable,Original Screenplay,73243106,30330771,94999143,160164067,153100000,248099143,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",2 wins & 13 nominations.,PG-13,106,"Drama, Mystery, Sci-Fi, Thriller",62,7.3,370337,tt0217869,13,"['UM-Xo8aSbcI', 'h5eCFjjQFxY']",1632034,123484416,258119367,418283434,51136246,Science Fiction,2000,11
23,2000-06-23 00:00:00+00:00,"Me, Myself & Irene",Original Screenplay,51000000,24209385,90570999,153080104,58700000,149270999,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",2 wins & 4 nominations.,R,116,Comedy,49,6.6,214669,tt0183505,4,['ssx_riw1Y9Y'],945086,86198511,99212796,252292900,40917901,Comedy,2000,6
24,2000-08-04 00:00:00+00:00,Space Cowboys,Original Screenplay,65000000,18093776,90454043,152860316,38420000,128874043,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 4 wins & 8 nominations.,PG-13,130,"Action, Adventure, Thriller",73,6.4,70652,tt0186566,8,['7PAZBAV43Zw'],296542,109844957,64926819,217787135,30577077,Action,2000,8
25,2000-12-15 00:00:00+00:00,The Emperor's New Groove,Original Screenplay,100000000,9812302,89296573,147823260,80000000,169296573,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",Nominated for 1 Oscar. Another 7 wins & 26 nominations.,G,78,"Animation, Adventure, Comedy, Family, Fantasy",70,7.3,167931,tt0120917,26,"['Hjvy8vc39kw', 'zefYX6e1g3Y']",2385361,165541918,132433534,280256794,16243472,Adventure,2000,12
26,2000-02-04 00:00:00+00:00,Scream 3,Original Screenplay,40000000,34713342,89138076,150658228,72700000,161838076,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",5 wins & 5 nominations.,R,116,"Horror, Mystery",56,5.5,117923,tt0134084,5,['bYi-rmHfrP8'],665622,67606677,122875135,273533363,58671342,Horror,2000,2
27,2000-04-21 00:00:00+00:00,U-571,Original Screenplay,62000000,19553310,77086030,130288259,50544000,127630030,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",Won 1 Oscar. Another 3 wins & 10 nominations.,PG-13,116,"Action, War",62,6.6,74029,tt0141926,10,"['2imOf6-H3tI', 'oHvDBE5O09o']",867510,104790349,85427797,215716056,33048358,Action,2000,4
28,2000-11-17 00:00:00+00:00,Rugrats in Paris,Based on TV,30000000,22718184,76501438,128873212,26783375,103284813,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",3 wins & 7 nominations.,G,78,"Animation, Adventure, Comedy, Family, Romance",62,6.1,10548,tt0213203,7,['F8riqB7r5EQ'],821667,50537564,45118884,173992096,38270723,,2000,11
29,2000-12-22 00:00:00+00:00,The Family Man,Original Screenplay,60000000,15104055,75764085,125423938,48951778,124715863,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",4 wins & 6 nominations.,PG-13,125,"Comedy, Drama, Fantasy, Romance",42,6.8,99571,tt0218967,6,['vy5pt3FT5Tk'],10164,99327224,81037404,206461342,25004064,Comedy,2000,12
30,2000-08-04 00:00:00+00:00,Hollow Man,Original Screenplay,90000000,26414386,73209340,123736001,117990660,191200000,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,R,112,"Action, Horror, Sci-Fi, Thriller",24,5.8,117501,tt0164052,11,['XufZT_CRW88'],258728,152115018,199423904,323159905,44644720,Action,2000,8
31,2000-12-15 00:00:00+00:00,Chocolat,Based on Fiction Book/Short Story,25000000,157624,71309760,115118524,81190583,152500343,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",Nominated for 5 Oscars. Another 7 wins & 31 nominations.,PG-13,121,"Drama, Romance",64,7.2,171108,tt0241303,31,['692hOJq1KJE'],451736,40358614,131069576,246188100,254459,Comedy,2000,12
32,2000-06-16 00:00:00+00:00,Shaft,Remake,53012938,21714757,70327868,118865832,36862240,107190108,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 win & 13 nominations.,R,99,"Action, Crime, Thriller",50,5.9,71011,tt0162650,13,['DcLG3AfyVDI'],587682,89600711,62303336,181169168,36701562,Adventure,2000,6
33,2000-07-07 00:00:00+00:00,The Kid,Original Screenplay,65000000,12687726,69688384,117785003,0,69688384,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",2 wins.,Not Rated,68,"Comedy, Drama, Family",,8.3,103044,tt0012349,0,['0hH2Yo6Gdbs'],6732,109860851,0,117785003,21444375,Comedy,2000,7
34,2000-05-19 00:00:00+00:00,Road Trip,Original Screenplay,16000000,15484004,68525609,115819721,51213501,119739110,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",4 wins & 9 nominations.,R,93,Comedy,55,6.4,152165,tt0215129,9,['RXmANh0-2Bg'],1930903,27042671,86559367,202379088,26170552,Comedy,2000,5
35,2000-12-08 00:00:00+00:00,Vertical Limit,Original Screenplay,75000000,15507845,68473360,114393550,145026640,213500000,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,PG-13,124,"Action, Adventure, Drama, Thriller",48,5.9,56381,tt0190865,3,['WrTFoBHRSxA'],,125297141,242285645,356679195,25907848,Action,2000,12
36,2000-11-22 00:00:00+00:00,102 Dalmatians,Based on Fiction Book/Short Story,85000000,19883351,66941559,112448565,0,66941559,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",Nominated for 1 Oscar. Another 1 win & 6 nominations.,G,100,"Adventure, Comedy, Family",35,4.9,33011,tt0211181,6,['7wOwplmoZlg'],69853,142783170,0,112448565,33400092,Comedy,2000,11
37,2000-04-07 00:00:00+00:00,Rules of Engagement,Based on Fiction Book/Short Story,60000000,15011181,61322858,103645864,10397073,71719931,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",1 win & 2 nominations.,R,128,"Drama, Thriller, War",45,6.4,42813,tt0160797,2,['usKVcBTxkfk'],417577,101410013,17572788,121218652,25371401,Action,2000,4
38,2000-08-18 00:00:00+00:00,The Cell,Original Screenplay,35000000,17515050,61280963,103575052,24630263,85911226,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",Nominated for 1 Oscar. Another 6 wins & 24 nominations.,R,107,"Horror, Sci-Fi, Thriller",40,6.3,91999,tt0209958,24,['VvYJkD2nWco'],56532,59155839,41629253,145204305,29603356,Horror,2000,8
39,2000-03-10 00:00:00+00:00,Mission to Mars,Original Screenplay,90000000,22855247,60874615,102888258,45125385,106000000,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Metacritic', 'Value': '34/100'}]",2 nominations.,PG,114,"Adventure, Sci-Fi, Thriller",34,5.7,68308,tt0183523,2,['xwcI3fkKeiw'],17835,152115019,76269431,179157689,38629181,Science Fiction,2000,3
40,2000-08-04 00:00:00+00:00,Coyote Ugly,Based on Real Life Events,45000000,17319282,60786269,102738936,53130205,113916474,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",4 wins & 8 nominations.,PG-13,100,"Comedy, Drama, Music, Romance",27,5.7,102846,tt0200550,8,['2lqWOOHOwlE'],3751632,76057507,89798910,192537846,29272476,Comedy,2000,8
41,2000-02-18 00:00:00+00:00,The Whole Nine Yards,Original Screenplay,24000000,15915676,57262492,96783164,28265375,85527867,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",5 nominations.,R,98,"Comedy, Crime",47,6.7,105772,tt0190138,5,['671bZc4jX7g'],98325,40564003,47773198,144556362,26900147,Comedy,2000,2
42,2000-05-26 00:00:00+00:00,Shanghai Noon,Original Screenplay,55000000,19647065,56932305,96225095,14257530,71189835,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",1 win & 7 nominations.,PG-13,110,"Action, Adventure, Comedy, Western",77,6.5,114518,tt0184894,7,['FqHg5fc_0_U'],45078,92959177,24097604,120322699,33206818,Adventure,2000,5
43,2000-03-22 00:00:00+00:00,Romeo Must Die,Original Screenplay,25000000,18014503,55973336,94604280,35063424,91036760,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",2 wins & 7 nominations.,R,115,"Action, Crime, Thriller",52,6.1,64572,tt0165929,7,"['_6QajoX9t2o', 'rpy4lGGlDOA']",188903,42254172,59263038,153867318,30447516,Action,2000,3
44,2000-03-17 00:00:00+00:00,Final Destination,Original Screenplay,23000000,10015822,53302314,90089810,58734556,112036870,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",3 wins & 3 nominations.,R,98,"Horror, Thriller",36,6.7,218133,tt0195714,3,"['pna8QJDfJUE', 'lP4Psj7d1ZI']",850050,38873840,99271205,189361015,16928411,Horror,2000,3
45,2000-12-19 00:00:00+00:00,Finding Forrester,Original Screenplay,43000000,701207,51768623,83751154,28245000,80013623,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",5 wins & 13 nominations.,PG-13,136,Drama,62,7.3,80037,tt0181536,13,['8QGCBH_2Dck'],47285,69565296,45694693,129445847,1134411,Drama,2000,12
46,2000-03-31 00:00:00+00:00,The Road to El Dorado,Original Screenplay,95000000,12846652,50802661,85864975,14897339,65700000,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",1 win & 12 nominations.,PG,89,"Animation, Adventure, Comedy, Family, Romance",51,6.9,78427,tt0138749,12,['JcOfJwN0bdY'],1333442,160565853,25178988,111043963,21712985,Adventure,2000,3
47,2000-11-10 00:00:00+00:00,Men of Honor,Based on Real Life Events,32000000,13339465,48814909,82400333,33524574,82339483,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",11 nominations.,R,129,"Biography, Drama",56,7.2,103306,tt0203019,11,['vAgspe-gUac'],201215,54016502,56590007,138990340,22517226,Drama,2000,11
48,2000-02-11 00:00:00+00:00,The Tigger Movie,Spin-Off,20000000,9427532,45542421,76974289,50605267,96147688,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",4 nominations.,G,77,"Animation, Comedy, Drama, Family, Musical",53,6.3,16275,tt0220099,4,"['S9V6WJniZKQ', 'Lssr92pk_9I']",119492,33803336,85531343,162505632,15934101,Animation,2000,2
49,2000-12-22 00:00:00+00:00,"O Brother, Where Art Thou?",Based on Folk Tale/Legend/Fairytale,26000000,195104,45506619,73400882,30257195,75763814,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",Nominated for 2 Oscars. Another 7 wins & 36 nominations.,PG-13,107,"Adventure, Comedy, Crime, Music",69,7.7,271610,tt0190590,36,['G7nNDKrTrag'],16053,41937260,48803994,122204876,314697,Action,2000,12
50,2000-04-28 00:00:00+00:00,Frequency,Original Screenplay,31000000,9025584,44983704,76029965,23095967,68079671,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,PG-13,118,"Crime, Drama, Mystery, Sci-Fi, Thriller",67,7.3,96863,tt0186151,7,"['i6VQxn6HK_c', 'dMD1ZsyHRHA', 'WgY7peh0b_8']",331519,52395172,39036037,115066002,15254742,Crime,2000,4
51,2000-08-11 00:00:00+00:00,The Replacements,Original Screenplay,50000000,11039214,44737059,75613091,5317452,50054511,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",,PG-13,118,"Comedy, Sport",30,6.6,55975,tt0191397,0,['Ivh1DoSVfyo'],8880,84508339,8987380,84600471,18658112,Comedy,2000,8
52,2000-07-21 00:00:00+00:00,Pokemon 2000,Based on TV,30000000,19575608,43746923,73939602,90200000,133946923,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",,,30,,,8.1,43,tt0382918,0,['3uwx7tnwdCw'],190059,50705007,152453055,226392657,33086045,,2000,7
53,2000-02-11 00:00:00+00:00,The Beach,Based on Fiction Book/Short Story,50000000,15277921,39778599,67232474,0,39778599,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",7 nominations.,R,119,"Adventure, Drama, Romance, Thriller",43,6.7,214377,tt0163978,7,"['mwbLivFNZok', 'uTDVnwwQNTw']",571429,84508348,0,67232474,25822237,Drama,2000,2
54,2000-11-10 00:00:00+00:00,Little Nicky,Original Screenplay,80000000,16063904,39442871,66617112,18827520,58270391,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",1 win & 12 nominations.,PG-13,90,"Comedy, Fantasy",38,5.3,93910,tt0185431,12,['_0jhAYDiFwo'],529578,135116152,31798775,98415887,27131161,Comedy,2000,11
