,Title,Released,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
18,The Patriot,"Jun 28, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Nominated for 3 Oscars. Another 9 wins & 17 nominations.,R,165 min,"Action, Drama, History, War",63,7.2,"244,227",tt0187393,17
19,Miss Congeniality,"Dec 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,PG-13,109 min,"Action, Comedy, Crime, Romance",43,6.2,"176,450",tt0212346,5
20,Chicken Run,"Jun 21, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.,G,84 min,"Animation, Adventure, Comedy, Drama, Family",88,7.0,"168,732",tt0120630,25
21,Gone in 60 Seconds,"Jun 9, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",9 wins & 6 nominations.,PG-13,118 min,"Action, Crime, Thriller",35,6.5,"251,813",tt0187078,6
22,Unbreakable,"Nov 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",2 wins & 13 nominations.,PG-13,106 min,"Drama, Mystery, Sci-Fi, Thriller",62,7.3,"370,337",tt0217869,13
23,"Me, Myself & Irene","Jun 23, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",2 wins & 4 nominations.,R,116 min,Comedy,49,6.6,"214,669",tt0183505,4
24,Space Cowboys,"Aug 4, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 1 Oscar. Another 4 wins & 8 nominations.,PG-13,130 min,"Action, Adventure, Thriller",73,6.4,"70,652",tt0186566,8
25,The Emperor's New Groove,"Dec 15, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",Nominated for 1 Oscar. Another 7 wins & 26 nominations.,G,78 min,"Animation, Adventure, Comedy, Family, Fantasy",70,7.3,"167,931",tt0120917,26
26,Scream 3,"Feb 4, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",5 wins & 5 nominations.,R,116 min,"Horror, Mystery",56,5.5,"117,923",tt0134084,5
27,U-571,"Apr 21, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",Won 1 Oscar. Another 3 wins & 10 nominations.,PG-13,116 min,"Action, War",62,6.6,"74,029",tt0141926,10
28,Rugrats in Paris,"Nov 17, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",3 wins & 7 nominations.,G,78 min,"Animation, Adventure, Comedy, Family, Romance",62,6.1,"10,548",tt0213203,7
29,The Family Man,"Dec 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",4 wins & 6 nominations.,PG-13,125 min,"Comedy, Drama, Fantasy, Romance",42,6.8,"99,571",tt0218967,6
30,Hollow Man,"Aug 4, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,R,112 min,"Action, Horror, Sci-Fi, Thriller",24,5.8,"117,501",tt0164052,11
31,Chocolat,"Dec 15, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",Nominated for 5 Oscars. Another 7 wins & 31 nominations.,PG-13,121 min,"Drama, Romance",64,7.2,"171,108",tt0241303,31
32,Shaft,"Jun 16, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 win & 13 nominations.,R,99 min,"Action, Crime, Thriller",50,5.9,"71,011",tt0162650,13
33,The Kid,"Jul 7, 2000","[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",2 wins.,Not Rated,68 min,"Comedy, Drama, Family",N/A,8.3,"103,044",tt0012349,
34,Road Trip,"May 19, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",4 wins & 9 nominations.,R,93 min,Comedy,55,6.4,"152,165",tt0215129,9
35,Vertical Limit,"Dec 8, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,PG-13,124 min,"Action, Adventure, Drama, Thriller",48,5.9,"56,381",tt0190865,3
36,102 Dalmatians,"Nov 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",Nominated for 1 Oscar. Another 1 win & 6 nominations.,G,100 min,"Adventure, Comedy, Family",35,4.9,"33,011",tt0211181,6
37,Rules of Engagement,"Apr 7, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",1 win & 2 nominations.,R,128 min,"Drama, Thriller, War",45,6.4,"42,813",tt0160797,2
38,The Cell,"Aug 18, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",Nominated for 1 Oscar. Another 6 wins & 24 nominations.,R,107 min,"Horror, Sci-Fi, Thriller",40,6.3,"91,999",tt0209958,24
39,Mission to Mars,"Mar 10, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Metacritic', 'Value': '34/100'}]",2 nominations.,PG,114 min,"Adventure, Sci-Fi, Thriller",34,5.7,"68,308",tt0183523,2
40,Coyote Ugly,"Aug 4, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",4 wins & 8 nominations.,PG-13,100 min,"Comedy, Drama, Music, Romance",27,5.7,"102,846",tt0200550,8
41,The Whole Nine Yards,"Feb 18, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",5 nominations.,R,98 min,"Comedy, Crime",47,6.7,"105,772",tt0190138,5
42,Shanghai Noon,"May 26, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",1 win & 7 nominations.,PG-13,110 min,"Action, Adventure, Comedy, Western",77,6.5,"114,518",tt0184894,7
43,Romeo Must Die,"Mar 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",2 wins & 7 nominations.,R,115 min,"Action, Crime, Thriller",52,6.1,"64,572",tt0165929,7
