,Title,Released,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
218,8 Mile,"Nov 8, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",Won 1 Oscar. Another 14 wins & 21 nominations.,R,110 min,"Drama, Music",77,7.1,"237,424",tt0298203,21
219,Road to Perdition,"Jul 12, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Won 1 Oscar. Another 22 wins & 82 nominations.,R,117 min,"Crime, Drama, Thriller",72,7.7,"233,985",tt0257044,82
220,Panic Room,"Mar 29, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",1 win & 9 nominations.,R,112 min,"Crime, Drama, Thriller",65,6.8,"244,256",tt0258000,9
221,Maid in Manhattan,"Dec 13, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",1 win & 8 nominations.,PG-13,105 min,"Comedy, Drama, Romance",45,5.2,"80,814",tt0252076,8
222,Two Weeks Notice,"Dec 20, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",2 wins & 3 nominations.,PG-13,101 min,"Comedy, Romance",42,6.1,"101,227",tt0313737,3
223,Red Dragon,"Oct 4, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",4 wins & 10 nominations.,R,124 min,"Crime, Drama, Thriller",60,7.2,"237,527",tt0289765,10
224,The Scorpion King,"Apr 19, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",2 wins & 3 nominations.,PG-13,92 min,"Action, Adventure, Fantasy, Thriller",45,5.5,"125,789",tt0277296,3
225,Spy Kids 2: Island of Lost Dreams,"Aug 7, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",3 wins & 3 nominations.,PG,100 min,"Action, Adventure, Comedy, Family, Sci-Fi",66,5.1,"57,035",tt0287717,3
226,Blade 2,"Mar 22, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,TV-MA,24 min,"Animation, Action, Adventure",N/A,6.9,204,tt1515985,
227,Snow Dogs,"Jan 18, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",1 win.,PG,99 min,"Adventure, Comedy, Family, Sport",29,5.1,"24,282",tt0281373,
228,We Were Soldiers,"Mar 1, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",3 wins & 5 nominations.,R,138 min,"Action, Drama, History, War",65,7.2,"124,876",tt0277434,5
229,Gangs of New York,"Dec 20, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Nominated for 10 Oscars. Another 50 wins & 124 nominations.,R,167 min,"Crime, Drama",72,7.5,"383,889",tt0217505,124
230,The Rookie,"Mar 29, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",5 wins & 4 nominations.,G,127 min,"Drama, Family, Sport",72,6.9,"30,772",tt0265662,4
231,Spirit: Stallion of the Cimarron,"May 24, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",Nominated for 1 Oscar. Another 10 wins & 21 nominations.,G,83 min,"Animation, Adventure, Drama, Family, Western",52,7.1,"60,652",tt0166813,21
232,John Q,"Feb 15, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",2 wins & 8 nominations.,PG-13,116 min,"Crime, Drama, Thriller",30,7.1,"118,392",tt0251160,8
233,Insomnia,"May 24, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",1 win & 10 nominations.,R,118 min,"Drama, Mystery, Thriller",78,7.2,"261,003",tt0278504,10
234,Changing Lanes,"Apr 12, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",7 nominations.,R,98 min,"Drama, Thriller",69,6.4,"64,603",tt0264472,7
235,About Schmidt,"Dec 13, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",Nominated for 2 Oscars. Another 25 wins & 69 nominations.,R,125 min,"Comedy, Drama",85,7.1,"119,232",tt0257360,69
236,Stuart Little 2,"Jul 19, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",1 win & 4 nominations.,PG,77 min,"Animation, Adventure, Comedy, Family, Fantasy",66,5.4,"47,416",tt0243585,4
237,The Time Machine,"Mar 8, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",Nominated for 1 Oscar. Another 2 wins & 3 nominations.,PG-13,96 min,"Action, Adventure, Sci-Fi",42,6.0,"114,976",tt0268695,3
238,Drumline,"Dec 13, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",13 nominations.,PG-13,118 min,"Comedy, Drama, Romance, Music",63,5.8,"32,129",tt0303933,13
239,The Count of Monte Cristo,"Jan 25, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",N/A,PG-13,131 min,"Action, Adventure, Drama, Thriller",61,7.8,"123,655",tt0245844,
240,Unfaithful,"May 8, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Nominated for 1 Oscar. Another 3 wins & 15 nominations.,R,124 min,"Drama, Romance, Thriller",63,6.7,"75,900",tt0250797,15
241,Like Mike,"Jul 3, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",1 win & 6 nominations.,PG,99 min,"Comedy, Family, Fantasy, Sport",47,5.2,"17,963",tt0308506,6
242,The Tuxedo,"Sep 27, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",2 wins & 1 nomination.,PG-13,98 min,"Action, Comedy, Sci-Fi",30,5.4,"75,399",tt0290095,
243,Big Fat Liar,"Feb 8, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",1 win & 3 nominations.,PG,88 min,"Adventure, Comedy, Family",36,5.4,"33,335",tt0265298,3
244,Star Trek: Nemesis,"Dec 13, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",1 win & 4 nominations.,PG-13,116 min,"Action, Adventure, Sci-Fi, Thriller",51,6.4,"70,199",tt0253754,4
245,Reign of Fire,"Feb 19, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",1 win & 3 nominations.,PG-13,101 min,"Action, Adventure, Fantasy, Thriller",39,6.2,"122,112",tt0253556,3
246,The Hours,"Dec 27, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",Won 1 Oscar. Another 42 wins & 125 nominations.,PG-13,110 min,"Drama, Romance",80,7.5,"119,197",tt0274558,125
247,High Crimes,"Apr 5, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '48/100'}]",2 nominations.,PG-13,115 min,"Crime, Drama, Mystery, Thriller",48,6.4,"36,908",tt0257756,2
248,Orange County,"Jan 11, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",3 nominations.,PG-13,82 min,"Comedy, Drama",48,6.2,"45,572",tt0273923,3
249,Windtalkers,"Jun 14, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",3 wins & 4 nominations.,R,134 min,"Action, Drama, War",51,6.1,"63,370",tt0245562,4
250,About a Boy,"May 17, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",Nominated for 1 Oscar. Another 11 wins & 29 nominations.,PG-13,101 min,"Comedy, Drama, Romance",75,7.0,"165,571",tt0276751,29
251,The Master of Disguise,"Aug 2, 2002","[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '1%'}, {'Source': 'Metacritic', 'Value': '12/100'}]",1 win & 6 nominations.,PG,80 min,"Adventure, Comedy, Family, Fantasy",12,3.3,"21,424",tt0295427,6
252,Resident Evil,"Mar 15, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",7 nominations.,R,100 min,"Action, Horror, Sci-Fi",33,6.7,"237,749",tt0120804,7
253,Blue Crush,"Aug 16, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",1 win & 7 nominations.,PG-13,104 min,"Drama, Romance, Sport",61,5.6,"29,051",tt0300532,7
254,The Wild Thornberrys Movie,"Dec 20, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",Nominated for 1 Oscar. Another 12 nominations.,PG,85 min,"Animation, Adventure, Comedy, Family, Fantasy",69,5.6,"13,655",tt0282120,12
255,Collateral Damage,"Feb 8, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",N/A,R,108 min,"Action, Drama, Thriller",33,5.5,"69,965",tt0233469,
256,Enough,"May 24, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",4 nominations.,PG-13,115 min,"Crime, Drama, Thriller",25,5.8,"37,494",tt0278435,4
257,Undercover Brother,"May 31, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",1 win & 7 nominations.,PG-13,86 min,"Action, Comedy",69,5.8,"32,538",tt0279493,7
258,Treasure Planet,"Nov 27, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",Nominated for 1 Oscar. Another 1 win & 13 nominations.,PG,95 min,"Animation, Adventure, Family, Sci-Fi",60,7.2,"95,061",tt0133240,13
259,Showtime,"Mar 15, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",1 win & 6 nominations.,PG-13,95 min,"Action, Comedy, Crime",32,5.5,"58,880",tt0284490,6
260,40 Days and 40 Nights,"Mar 1, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",1 win & 2 nominations.,R,96 min,"Comedy, Romance",53,5.6,"68,379",tt0243736,2
261,Clockstoppers,"Mar 29, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",N/A,PG,94 min,"Action, Adventure, Comedy, Sci-Fi, Thriller",40,5.2,"12,933",tt0157472,
262,The Mothman Prophecies,"Jan 25, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",1 win & 2 nominations.,PG-13,119 min,"Drama, Horror, Mystery, Thriller",52,6.4,"72,785",tt0265349,2
263,K-19: The Widowmaker,"Jul 19, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",1 win & 2 nominations.,PG-13,138 min,"Drama, History, Thriller, War",58,6.7,"57,142",tt0267626,2
264,I Spy,"Nov 1, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",2 wins & 6 nominations.,PG-13,97 min,"Action, Adventure, Comedy, Thriller",35,5.4,"47,339",tt0297181,6
265,The Pianist,"Dec 27, 2002","[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",Won 3 Oscars. Another 54 wins & 73 nominations.,R,150 min,"Biography, Drama, Music, War",85,8.5,"673,896",tt0253474,73
266,Analyze That,"Dec 6, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",1 win.,R,96 min,"Comedy, Crime",37,5.9,"79,635",tt0289848,
267,Murder by Numbers,"Apr 19, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Metacritic', 'Value': '50/100'}]",2 nominations.,R,115 min,"Crime, Mystery, Thriller",50,6.2,"50,933",tt0264935,2
268,Queen of the Damned,"Feb 22, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",7 nominations.,R,101 min,"Drama, Fantasy, Horror",30,5.3,"50,710",tt0238546,7
269,Halloween: Resurrection,"Jul 12, 2002","[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",1 win & 1 nomination.,R,94 min,"Horror, Thriller",19,4.0,"35,504",tt0220506,
270,Bad Company,"Jun 7, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",N/A,PG-13,116 min,"Action, Adventure, Comedy, Thriller",37,5.6,"43,701",tt0280486,
271,Ghost Ship,"Oct 25, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",1 nomination.,R,91 min,Horror,28,5.5,"89,851",tt0288477,
272,Dragonfly,"Feb 22, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",1 nomination.,PG-13,104 min,"Drama, Fantasy, Mystery, Romance, Thriller",25,6.1,"35,546",tt0259288,
273,Blood Work,"Aug 9, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",2 wins.,R,110 min,"Action, Crime, Drama, Mystery, Thriller",64,6.4,"40,346",tt0309377,
274,The Transporter,"Oct 11, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",N/A,PG-13,92 min,"Action, Crime, Thriller",51,6.8,"275,943",tt0293662,
275,The Sweetest Thing,"Apr 12, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",1 win & 4 nominations.,R,84 min,"Comedy, Romance",32,5.2,"53,008",tt0253867,4
276,Adaptation,"Dec 6, 2002",[],N/A,N/A,N/A,Comedy,N/A,N/A,N/A,tt9117156,
277,City by the Sea,"Sep 6, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 nomination.,R,108 min,"Crime, Drama, Mystery, Thriller",50,6.1,"23,590",tt0269095,
278,Tuck Everlasting,"Oct 11, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",1 win & 3 nominations.,PG,90 min,"Drama, Family, Fantasy, Romance",66,6.6,"20,370",tt0283084,3
279,Hart's War,"Feb 15, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",1 win & 1 nomination.,R,125 min,"Drama, War",49,6.3,"49,353",tt0251114,
280,Rollerball,"Feb 8, 2002","[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '14/100'}]",5 wins & 3 nominations.,PG-13,98 min,"Action, Sci-Fi, Sport",14,3.1,"24,905",tt0246894,3
281,The Four Feathers,"Sep 20, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",N/A,PG-13,132 min,"Action, Adventure, Drama, Romance, War",49,6.5,"31,598",tt0240510,
282,Punch-Drunk Love,"Oct 11, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",Nominated for 1 Golden Globe. Another 14 wins & 36 nominations.,R,95 min,"Comedy, Drama, Romance, Thriller",78,7.3,"137,629",tt0272338,36
283,Eight Legged Freaks,"Jul 17, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",1 nomination.,PG-13,99 min,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",53,5.4,"51,006",tt0271367,
284,The Country Bears,"Jul 26, 2002","[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",4 nominations.,G,88 min,"Comedy, Family, Music, Musical",37,4.1,"4,769",tt0276033,4
285,Serving Sara,"Aug 23, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '18/100'}]",N/A,PG-13,99 min,"Comedy, Romance",18,5.3,"16,237",tt0261289,
286,White Oleander,"Oct 11, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",3 wins & 7 nominations.,PG-13,109 min,Drama,61,7.1,"28,747",tt0283139,7
287,Confessions of a Dangerous Mind,"Dec 31, 2002","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",7 wins & 12 nominations.,R,113 min,"Biography, Comedy, Crime, Drama, Romance, Thriller",67,7.0,"80,184",tt0270288,12
288,Half Past Dead,"Nov 15, 2002","[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",4 nominations.,PG-13,98 min,"Action, Crime, Thriller",23,4.6,"14,087",tt0297162,4
289,Solaris,"Nov 27, 2002","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",2 wins & 11 nominations.,PG-13,99 min,"Drama, Mystery, Romance, Sci-Fi",65,6.2,"76,701",tt0307479,11
290,"Life, or Something Like It","Apr 26, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",1 nomination.,PG-13,103 min,"Comedy, Romance",31,5.8,"22,176",tt0282687,
291,Ballistic: Ecks vs. Sever,"Sep 20, 2002","[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",5 nominations.,R,91 min,"Action, Crime, Mystery, Sci-Fi, Thriller",19,3.7,"18,607",tt0308208,5
292,Stealing Harvard,"Sep 13, 2002","[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",1 win & 1 nomination.,PG-13,85 min,"Comedy, Crime",25,5.1,"12,182",tt0265808,
293,Juwanna Mann,"Jun 21, 2002","[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",1 nomination.,PG-13,91 min,"Comedy, Drama, Romance, Sport",24,4.6,"5,921",tt0247444,
294,FearDotCom,"Aug 30, 2002","[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '16/100'}]",3 wins & 3 nominations.,R,101 min,"Crime, Horror, Thriller",16,3.4,"19,252",tt0295254,3
295,Finding Nemo,"May 30, 2003","[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",Won 1 Oscar. Another 49 wins & 62 nominations.,G,100 min,"Animation, Adventure, Comedy, Family",90,8.1,"900,927",tt0266543,62
296,The Lord of the Rings: The Return of the King,"Dec 17, 2003","[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",Won 11 Oscars. Another 199 wins & 122 nominations.,PG-13,201 min,"Adventure, Drama, Fantasy",94,8.9,"1,558,973",tt0167260,122
297,Pirates of the Caribbean: The Curse of the Black Pearl,"Jul 9, 2003","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Nominated for 5 Oscars. Another 38 wins & 98 nominations.,PG-13,143 min,"Action, Adventure, Fantasy",63,8.0,"982,676",tt0325980,98
298,The Matrix Reloaded,"May 15, 2003","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",8 wins & 34 nominations.,R,138 min,"Action, Sci-Fi",62,7.2,"493,197",tt0234215,34
299,Bruce Almighty,"May 23, 2003","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",7 wins & 9 nominations.,PG-13,101 min,"Comedy, Drama, Fantasy",46,6.7,"355,389",tt0315327,9
300,X2: X-Men United,"May 2, 2003","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",6 wins & 41 nominations.,PG-13,134 min,"Action, Sci-Fi, Thriller",68,7.4,"494,613",tt0290334,41
301,Elf,"Nov 7, 2003","[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",2 wins & 7 nominations.,PG,97 min,"Comedy, Family, Fantasy, Romance",64,6.9,"207,088",tt0319343,7
302,Terminator 3: Rise of the Machines,"Jul 1, 2003","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",3 wins & 23 nominations.,R,109 min,"Action, Sci-Fi",66,6.3,"363,056",tt0181852,23
303,The Matrix Revolutions,"Nov 5, 2003","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",4 wins & 34 nominations.,R,129 min,"Action, Sci-Fi",47,6.7,"428,318",tt0242653,34
304,Cheaper by the Dozen,"Dec 25, 2003","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",2 wins & 7 nominations.,PG,98 min,"Comedy, Family",46,5.9,"89,476",tt0349205,7
