Unnamed: 0,Released,Title,Source,Production Budget,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations,trailer ids,max viewcount,Infl. Adj. Production Budget,Infl. Adj. International Box Office,Infl. Adj. Worldwide Box Office,Infl. Adj. Opening Weekend Revenue,Genre
11,"Dec 8, 2000","Crouching Tiger, Hidden Dragon",Based on Fiction Book/Short Story,15000000,663205,128067808,207214821,85446864,213514672,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",Won 4 Oscars. Another 97 wins & 133 nominations.,PG-13,120 min,"Action, Adventure, Fantasy, Romance",94.0,7.8,"245,063",tt0190332,133.0,['WdhvxJZDqzU'],4082516.0,24270129,138253764,345468585,1073071,Adventure
12,"Mar 17, 2000",Erin Brockovich,Based on Real Life Events,50000000,28138465,125548685,212198237,132256558,257805243,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Won 1 Oscar. Another 32 wins & 59 nominations.,R,131 min,"Biography, Drama",73.0,7.3,"163,936",tt0195685,59.0,['keZXGaDvK2s'],30692.0,84508347,223535662,435733899,47558703,Drama
13,"Nov 3, 2000",Charlie's Angels,Based on TV,90000000,40128550,125305545,211585489,134430545,259736090,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",15 wins & 30 nominations.,PG-13,98 min,"Action, Adventure, Comedy, Crime, Thriller",52.0,5.5,"169,226",tt0160127,30.0,['RSUq4VfWfjE'],21055839.0,151970082,226993566,438579055,67759322,Action
14,"Dec 27, 2000",Traffic,Based on TV,48000000,184725,124107476,199785980,84192524,208300000,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",Won 4 Oscars. Another 70 wins & 86 nominations.,R,147 min,"Crime, Drama, Thriller",86.0,7.6,"189,615",tt0181865,86.0,['g3Du7F7htXc'],20534.0,77269535,135531609,335317589,297366,Thriller
15,"Jul 28, 2000",Nutty Professor II: The Klumps,Remake,84000000,42518830,123307945,208411010,43000000,166307945,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",2 wins & 14 nominations.,PG-13,106 min,"Comedy, Romance, Sci-Fi",38.0,4.4,"46,805",tt0144528,14.0,['X5BnhugnRR8'],4011.0,141974021,72677177,281088187,71863920,Fantasy
16,"Jun 2, 2000",Big Momma's House,Original Screenplay,33000000,25661041,117559438,198695076,56000000,173559438,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",1 win & 9 nominations.,PG-13,99 min,"Action, Comedy, Crime",33.0,5.2,"77,737",tt0208003,9.0,['njhwlzuPXv4'],15309.0,55775509,94649348,293344424,43371443,Crime
17,"Sep 29, 2000",Remember the Titans,Based on Real Life Events,30000000,20905831,115654751,195321944,21051932,136706683,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",8 wins & 18 nominations.,PG,113 min,"Biography, Drama, Sport",48.0,7.8,"189,221",tt0210945,18.0,['nPhu9XsRl4M'],1713860.0,50665089,35553267,230875211,35306526,Drama
18,"Jun 28, 2000",The Patriot,Original Screenplay,110000000,22413710,113330342,191547197,101969658,215300000,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Nominated for 3 Oscars. Another 9 wins & 17 nominations.,R,165 min,"Action, Drama, History, War",63.0,7.2,"244,227",tt0187393,17.0,['R_C_dPHEWN0'],83668.0,185918363,172345744,363892941,37882911,Drama
19,"Dec 22, 2000",Miss Congeniality,Original Screenplay,45000000,13853686,106807667,175650939,106613284,213420951,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,PG-13,109 min,"Action, Comedy, Crime, Romance",43.0,6.2,"176,450",tt0212346,5.0,['8emJD-rR9Cs'],779630.0,74004914,175331265,350982204,22783129,Comedy
20,"Jun 21, 2000",Chicken Run,Original Screenplay,42000000,17506162,106793915,180499546,121000000,227793915,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.,G,84 min,"Animation, Adventure, Comedy, Drama, Family",88.0,7.0,"168,732",tt0120630,25.0,['jevaUcKLoMY'],78714.0,70987012,204510201,385009747,29588336,Animation
