,title,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
0,Avatar,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",Won 3 Oscars. Another 86 wins & 129 nominations.,PG-13,162 min,"Action, Adventure, Fantasy, Sci-Fi",83.0,7.8,"1,078,016",tt0499549,129
1,Transformers: Revenge of the Fallen,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",Nominated for 1 Oscar. Another 15 wins & 27 nominations.,PG-13,150 min,"Action, Adventure, Sci-Fi",35.0,6.0,"371,781",tt1055369,27
2,Harry Potter and the Half-Blood Prince,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",Nominated for 1 Oscar. Another 8 wins & 35 nominations.,PG,153 min,"Action, Adventure, Family, Fantasy, Mystery",78.0,7.6,"436,498",tt0417741,35
3,The Twilight Saga: New Moon,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",20 wins & 24 nominations.,PG-13,130 min,"Adventure, Drama, Fantasy, Mystery, Romance",44.0,4.7,"254,666",tt1259571,24
4,Up,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",Won 2 Oscars. Another 77 wins & 82 nominations.,PG,96 min,"Animation, Adventure, Comedy, Family",88.0,8.2,"878,357",tt1049413,82
5,The Hangover,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Won 1 Golden Globe. Another 12 wins & 25 nominations.,R,100 min,Comedy,73.0,7.7,"686,734",tt1119646,25
6,Star Trek,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",Won 1 Oscar. Another 24 wins & 93 nominations.,PG-13,127 min,"Action, Adventure, Sci-Fi",82.0,7.9,"564,872",tt0796366,93
7,The Blind Side,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",Won 1 Oscar. Another 10 wins & 30 nominations.,PG-13,129 min,"Biography, Drama, Sport",53.0,7.6,"276,730",tt0878804,30
8,Alvin and the Chipmunks: The Squeakquel,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",3 wins.,PG,88 min,"Animation, Comedy, Family, Fantasy, Music",41.0,4.5,"41,007",tt1231580,
9,Sherlock Holmes,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",Nominated for 2 Oscars. Another 10 wins & 29 nominations.,PG-13,128 min,"Action, Adventure, Crime, Mystery, Thriller",57.0,7.6,"560,275",tt0988045,29
10,Monsters vs. Aliens,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",3 wins & 9 nominations.,PG,94 min,"Animation, Action, Comedy, Family, Sci-Fi, Thriller",56.0,6.4,"140,038",tt0892782,9
11,Ice Age: Dawn of the Dinosaurs,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",3 wins & 13 nominations.,PG,94 min,"Animation, Adventure, Comedy, Family",50.0,6.9,"211,219",tt1080016,13
12,X-Men Origins: Wolverine,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",3 wins & 18 nominations.,PG-13,107 min,"Action, Adventure, Sci-Fi",40.0,6.6,"449,601",tt0458525,18
13,2012,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",5 wins & 21 nominations.,PG-13,158 min,"Action, Adventure, Sci-Fi",49.0,5.8,"336,559",tt1190080,21
14,The Proposal,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",Nominated for 1 Golden Globe. Another 7 wins & 19 nominations.,PG-13,108 min,"Comedy, Drama, Romance",48.0,6.7,"280,411",tt1041829,19
15,Fast & Furious,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",10 wins & 22 nominations.,PG-13,130 min,"Action, Adventure, Thriller",61.0,7.1,"354,629",tt1905041,22
16,G.I. Joe: The Rise of Cobra,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",3 wins & 16 nominations.,PG-13,118 min,"Action, Adventure, Sci-Fi, Thriller",32.0,5.8,"193,816",tt1046173,16
17,Paul Blart: Mall Cop,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",1 win & 3 nominations.,PG,91 min,"Action, Comedy, Crime, Family",39.0,5.2,"98,663",tt1114740,3
18,Taken,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",2 wins & 2 nominations.,PG-13,90 min,"Action, Thriller",51.0,7.8,"547,330",tt0936501,2
19,Angels & Demons,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",1 win & 5 nominations.,PG-13,138 min,"Action, Mystery, Thriller",48.0,6.7,"260,347",tt0808151,5
20,Terminator Salvation,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",2 wins & 13 nominations.,PG-13,115 min,"Action, Sci-Fi",49.0,6.5,"331,119",tt0438488,13
21,Cloudy with a Chance of Meatballs,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",Nominated for 1 Golden Globe. Another 1 win & 13 nominations.,PG,90 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",66.0,6.9,"193,370",tt0844471,13
22,Inglourious Basterds,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",Won 1 Oscar. Another 132 wins & 171 nominations.,R,153 min,"Adventure, Drama, War",69.0,8.3,"1,182,336",tt0361748,171
23,G-Force,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",1 win & 1 nomination.,PG,88 min,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",41.0,5.1,"40,546",tt0436339,
24,District 9,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",Nominated for 4 Oscars. Another 31 wins & 111 nominations.,R,112 min,"Action, Sci-Fi, Thriller",81.0,7.9,"618,557",tt1136608,111
25,It’s Complicated,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",Nominated for 3 Golden Globes. Another 8 wins & 12 nominations.,R,120 min,"Comedy, Drama, Romance",57.0,6.5,"82,961",tt1230414,12
26,Couples Retreat,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",1 win & 4 nominations.,PG-13,113 min,Comedy,23.0,5.5,"98,195",tt1078940,4
27,Watchmen,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",11 wins & 22 nominations.,R,162 min,"Action, Drama, Mystery, Sci-Fi",56.0,7.6,"477,697",tt0409459,22
28,The Princess and the Frog,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Nominated for 3 Oscars. Another 11 wins & 38 nominations.,G,97 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",73.0,7.1,"115,232",tt0780521,38
29,Public Enemies,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",1 win & 14 nominations.,R,140 min,"Biography, Crime, Drama, History",70.0,7.0,"267,590",tt1152836,14
30,Julie & Julia,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,Approved,99 min,"Crime, Drama, Film-Noir, Mystery, Thriller",,6.2,"1,251",tt0049388,
31,He's Just Not That Into You,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",1 win & 4 nominations.,PG-13,129 min,"Comedy, Drama, Romance",47.0,6.4,"154,304",tt1001508,4
32,Madea Goes To Jail,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",1 win & 4 nominations.,PG-13,103 min,"Comedy, Crime, Drama",50.0,4.4,"11,065",tt1142800,4
33,The Ugly Truth,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",3 wins & 5 nominations.,R,96 min,"Comedy, Romance",28.0,6.4,"195,086",tt1142988,5
34,Up in the Air,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",Nominated for 6 Oscars. Another 76 wins & 162 nominations.,R,109 min,"Comedy, Drama, Romance",83.0,7.4,"306,668",tt1193138,162
35,Knowing,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",1 win & 5 nominations.,PG-13,121 min,"Action, Drama, Mystery, Sci-Fi, Thriller",41.0,6.2,"212,925",tt0448011,5
36,Hannah Montana the Movie,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",6 wins & 10 nominations.,G,102 min,"Comedy, Drama, Family, Music, Romance",47.0,4.4,"37,893",tt1114677,10
37,Where the Wild Things Are,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",Nominated for 1 Golden Globe. Another 7 wins & 53 nominations.,PG,101 min,"Adventure, Drama, Family, Fantasy",71.0,6.7,"97,752",tt0386117,53
38,Zombieland,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",10 wins & 28 nominations.,R,88 min,"Adventure, Comedy, Horror, Sci-Fi",73.0,7.6,"494,401",tt1156398,28
39,Coraline,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",Nominated for 1 Oscar. Another 7 wins & 43 nominations.,PG,100 min,"Animation, Drama, Family, Fantasy",80.0,7.7,"183,719",tt0327597,43
40,Law Abiding Citizen,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",3 wins & 5 nominations.,R,109 min,"Action, Crime, Drama, Thriller",34.0,7.4,"259,515",tt1197624,5
41,Hotel for Dogs,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",2 wins & 2 nominations.,PG,100 min,"Comedy, Family",51.0,5.4,"20,535",tt0785006,2
42,Michael Jackson's This Is It,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",,,,Documentary,,8.2,26,tt1570981,
43,"I Love You, Man","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",1 win & 8 nominations.,R,105 min,"Comedy, Romance",70.0,7.0,"188,613",tt1155056,8
44,Obsessed,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",4 wins & 8 nominations.,PG-13,108 min,"Drama, Romance, Thriller",25.0,5.0,"27,845",tt1198138,8
45,Race to Witch Mountain,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",1 nomination.,PG,98 min,"Action, Adventure, Family, Fantasy, Sci-Fi, Thriller",52.0,5.7,"52,870",tt1075417,
46,The Final Destination,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",2 wins & 2 nominations.,R,82 min,"Horror, Thriller",30.0,5.2,"91,999",tt1144884,2
47,The Taking of Pelham 123,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",1 win & 7 nominations.,R,106 min,"Action, Crime, Thriller",55.0,6.4,"177,930",tt1111422,7
48,Friday the 13th,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",5 nominations.,R,95 min,"Horror, Mystery, Thriller",22.0,6.5,"111,126",tt0080761,5
49,17 Again,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",3 wins & 5 nominations.,PG-13,102 min,"Comedy, Drama, Fantasy",48.0,6.3,"171,921",tt0974661,5
50,The Time Traveler's Wife,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",1 win & 5 nominations.,PG-13,107 min,"Drama, Fantasy, Romance, Sci-Fi",47.0,7.1,"135,302",tt0452694,5
51,Brüno,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",2 wins & 5 nominations.,R,81 min,Comedy,54.0,5.8,"136,638",tt0889583,5
52,Bride Wars,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",1 win & 8 nominations.,PG,89 min,"Comedy, Romance",24.0,5.5,"96,509",tt0901476,8
53,Funny People,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",3 nominations.,R,146 min,"Comedy, Drama",60.0,6.3,"110,862",tt1201167,3
54,I Can Do Bad All By Myself,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",1 win & 5 nominations.,PG-13,113 min,"Comedy, Drama",55.0,4.5,"9,297",tt1385912,5
55,Old Dogs,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",5 nominations.,PG,88 min,"Comedy, Family",19.0,5.4,"35,119",tt0976238,5
56,Land of the Lost,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",2 wins & 9 nominations.,PG-13,102 min,"Action, Adventure, Comedy, Sci-Fi",32.0,5.3,"62,441",tt0457400,9
57,My Sister's Keeper,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",4 wins & 4 nominations.,PG-13,109 min,"Drama, Family",51.0,7.4,"86,489",tt1078588,4
58,The Lovely Bones,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",Nominated for 1 Oscar. Another 10 wins & 45 nominations.,PG-13,135 min,"Drama, Fantasy, Thriller",42.0,6.7,"150,055",tt0380510,45
59,Year One,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",1 nomination.,PG-13,97 min,Comedy,34.0,4.9,"88,179",tt1045778,
60,The Unborn,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",1 nomination.,PG-13,88 min,"Drama, Horror, Mystery, Thriller",30.0,4.8,"48,095",tt1139668,
61,Planet 51,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",4 wins & 4 nominations.,PG,91 min,"Animation, Adventure, Comedy, Family, Sci-Fi",39.0,6.0,"48,503",tt0762125,4
62,Drag Me To Hell,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",7 wins & 22 nominations.,PG-13,99 min,"Horror, Thriller",83.0,6.5,"180,783",tt1127180,22
63,Orphan,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",1 win & 7 nominations.,R,123 min,"Horror, Mystery, Thriller",42.0,6.9,"182,004",tt1148204,7
64,Duplicity,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,PG-13,125 min,"Comedy, Crime, Romance, Thriller",69.0,6.1,"45,833",tt1135487,3
65,Surrogates,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",,PG-13,89 min,"Action, Sci-Fi, Thriller",45.0,6.3,"165,317",tt0986263,
66,Ninja Assassin,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",,R,99 min,"Action, Thriller",34.0,6.3,"65,872",tt1186367,
67,Invictus,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",Nominated for 2 Oscars. Another 11 wins & 35 nominations.,PG-13,134 min,"Biography, Drama, History, Sport",74.0,7.3,"143,606",tt1057500,35
68,State of Play,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",2 wins & 4 nominations.,PG-13,127 min,"Crime, Drama, Mystery, Thriller",64.0,7.1,"130,052",tt0473705,4
69,Notorious,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '100/100'}]",Nominated for 2 Oscars. Another 3 wins & 1 nomination.,Not Rated,102 min,"Drama, Film-Noir, Romance, Thriller",100.0,7.9,"87,574",tt0038787,
70,All About Steve,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}, {'Source': 'Metacritic', 'Value': '17/100'}]",2 wins & 3 nominations.,PG-13,99 min,"Comedy, Romance",17.0,4.8,"38,494",tt0881891,3
71,Halloween 2,[],,,40 min,"Short, Horror",,,,tt10149956,
72,The Informant!,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",Nominated for 2 Golden Globes. Another 1 win & 18 nominations.,R,108 min,"Biography, Comedy, Crime, Drama",66.0,6.4,"61,425",tt1130080,18
73,The Last House on the Left,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",1 win & 8 nominations.,R,110 min,"Horror, Thriller",42.0,6.5,"81,686",tt0844708,8
74,The Men Who Stare at Goats,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",1 win & 1 nomination.,R,94 min,"Comedy, War",54.0,6.2,"123,597",tt1234548,
75,Earth,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",4 wins & 1 nomination.,G,90 min,Documentary,72.0,8.0,"13,955",tt0393597,
76,The Soloist,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",1 win & 3 nominations.,PG-13,117 min,"Biography, Drama, Music",61.0,6.7,"49,577",tt0821642,3
77,Push,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",1 win & 2 nominations.,PG-13,111 min,"Action, Sci-Fi, Thriller",36.0,6.1,"102,540",tt0465580,2
78,9,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",9 nominations.,PG-13,79 min,"Animation, Action, Adventure, Family, Sci-Fi",60.0,7.1,"128,497",tt0472033,9
79,Did You Hear About the Morgans?,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",2 nominations.,PG-13,103 min,"Comedy, Drama, Romance",27.0,4.8,"35,999",tt1314228,2
80,The Stepfather,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",2 nominations.,PG-13,101 min,"Crime, Thriller",33.0,5.6,"29,157",tt0814335,2
81,Defiance,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",Nominated for 1 Oscar. Another 2 wins & 4 nominations.,R,137 min,"Action, Drama, History, Thriller, War",58.0,7.2,"132,499",tt1034303,4
82,Brothers,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",Nominated for 2 Golden Globes. Another 4 wins & 14 nominations.,R,105 min,"Action, Drama, Thriller, War",58.0,7.1,"106,291",tt0765010,14
83,Dance Flick,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",,PG-13,83 min,"Action, Comedy, Music",40.0,3.5,"11,335",tt1153706,
84,The International,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",1 win & 1 nomination.,R,118 min,"Action, Crime, Drama, Mystery, Thriller",52.0,6.5,"88,512",tt0963178,
85,Aliens in the Attic,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",2 nominations.,PG,86 min,"Adventure, Comedy, Family, Fantasy, Sci-Fi",42.0,5.4,"19,861",tt0775552,2
86,Observe and Report,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",1 win & 4 nominations.,R,86 min,"Comedy, Crime, Drama",54.0,5.8,"58,861",tt1197628,4
87,Fighting,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",1 nomination.,PG-13,105 min,"Action, Crime, Drama, Romance, Sport",61.0,5.6,"31,144",tt1082601,
88,Love Happens,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",1 win.,PG-13,109 min,"Drama, Romance",33.0,5.6,"29,592",tt0899106,
89,Fame,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",Won 2 Oscars. Another 5 wins & 16 nominations.,R,134 min,"Drama, Music, Musical",58.0,6.6,"19,136",tt0080716,16
