,title,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
294,Ted,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",Nominated for 1 Oscar. Another 13 wins & 27 nominations.,R,106 min,Comedy,62.0,6.9,"549,313",tt1637725,27
295,Madagascar 3: Europe's Most Wanted,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",3 wins & 20 nominations.,PG,93 min,"Animation, Adventure, Comedy, Family",60.0,6.8,"153,375",tt1277953,20
296,Wreck-It Ralph,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Nominated for 1 Oscar. Another 33 wins & 41 nominations.,PG,101 min,"Animation, Adventure, Comedy, Family, Fantasy",72.0,7.7,"358,635",tt1772341,41
297,Lincoln,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",Won 2 Oscars. Another 107 wins & 248 nominations.,PG-13,150 min,"Biography, Drama, History, War",86.0,7.3,"234,637",tt0443272,248
298,Men in Black 3,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",1 win & 13 nominations.,PG-13,106 min,"Action, Adventure, Comedy, Sci-Fi",58.0,6.8,"320,568",tt1409024,13
299,Django Unchained,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",Won 2 Oscars. Another 57 wins & 153 nominations.,R,165 min,"Drama, Western",81.0,8.4,"1,267,819",tt1853728,153
300,Ice Age: Continental Drift,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",2 wins & 11 nominations.,PG,88 min,"Animation, Adventure, Comedy, Drama, Family, Fantasy",49.0,6.6,"181,566",tt1667889,11
301,Snow White and the Huntsman,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",Nominated for 2 Oscars. Another 13 wins & 31 nominations.,PG-13,127 min,"Action, Adventure, Drama, Fantasy, Romance, Thriller",57.0,6.1,"264,464",tt1735898,31
302,Les Misérables,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Won 3 Oscars. Another 85 wins & 173 nominations.,PG-13,158 min,"Drama, History, Musical, Romance, War",63.0,7.6,"293,844",tt1707386,173
303,Hotel Transylvania,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,PG,91 min,"Animation, Comedy, Family, Fantasy, Horror",47.0,7.1,"211,954",tt0837562,14
304,Taken 2,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",1 win & 3 nominations.,PG-13,92 min,"Action, Thriller",45.0,6.2,"278,828",tt1397280,3
305,21 Jump Street,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",11 wins & 20 nominations.,R,109 min,"Action, Comedy, Crime",69.0,7.2,"490,731",tt1232829,20
306,Argo,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",Won 3 Oscars. Another 93 wins & 154 nominations.,R,120 min,"Biography, Drama, Thriller",86.0,7.7,"548,104",tt1024648,154
307,Silver Linings Playbook,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",Won 1 Oscar. Another 88 wins & 147 nominations.,R,122 min,"Comedy, Drama, Romance",81.0,7.7,"635,560",tt1045658,147
308,Prometheus,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",Nominated for 1 Oscar. Another 6 wins & 46 nominations.,R,124 min,"Adventure, Mystery, Sci-Fi",64.0,7.0,"550,753",tt1446714,46
309,Safe House,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",1 win & 7 nominations.,R,115 min,"Action, Thriller",52.0,6.7,"196,769",tt1599348,7
310,The Vow,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",3 wins & 14 nominations.,PG-13,104 min,"Drama, Romance",43.0,6.8,"177,315",tt1606389,14
311,Life of Pi,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",Won 4 Oscars. Another 78 wins & 131 nominations.,PG,127 min,"Adventure, Drama, Fantasy",79.0,7.9,"551,704",tt0454876,131
312,The Bourne Legacy,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",1 win & 11 nominations.,PG-13,135 min,"Action, Adventure, Thriller",61.0,6.7,"274,208",tt1194173,11
